1229950,LK,,KG,7.3381,80.3003,,,Kurunegala,,Polgahawela,Polgahawela,"Polgahawela,Polgahawila",0,60300
1232592,LK,,RN,6.6081,80.6181,,,Ratnapura,,Opanayaka,Opanayaka,"Opanake,Opanayaka",0,70080
1243385,LK,,PX,8.1601,80.036,,,Puttalam,,Ihala Puliyankulama,Ihala Puliyankulama,,0,61316
1245450,LK,,KE,7.0356,80.2104,,,Kegalle,,Gonagala,Gonagala-North,"Gonagala,Gonagala-North",0,71318
1246397,LK,,KY,7.4162,80.5639,,,Kandy,,Galhinna,Galhinna,Galhinna,0,20152
1224818,LK,,GQ,7.1535,80.0597,,,Gampaha,,Veyangoda,Veyangoda,,0,11100
1230945,LK,,KE,7.36667,80.41667,,,Kegalle,,Parape,Parape,,0,71105
1231410,LK,,KT,6.7132,79.9026,,,Kalutara,,Panadura,Panadura,"Panadura,Panadure,Pandura",33735,12500
1241972,LK,,BD,6.7596,80.8455,,,Badulla,,Kalupahana,Kalupahana,,0,90186
1249207,LK,,BC,7.58333,81.78333,,,Batticaloa,,Cheddipalayam,Cheddipalayam,"Cheddipalavam,Cheddipalayam",0,30194
1249645,LK,,KY,7.3,80.9,,,Kandy,,Bopana,Bopana,Bopana,0,20932
7544476,LK,,KE,7.1238,80.2864,,,Kegalle,,Kotiyakumbura,Kotiyakumbura,,0,71370
1230532,LK,,AD,8.26667,80.53333,,,Anuradhapura,,Perimiyankulama,Perimiyankulama,,0,50004
1234863,LK,,HB,6.1257,80.7112,,,Hambantota,,Modarawana,Modarawana,"Modarawana,Moderawana",0,82416
1237080,LK,,KT,6.61667,80.16667,,,Kalutara,,Mahagama,Mahagama North,"Mahagama,Mahagama North",0,12210
1239153,LK,,GQ,7.2844,80.0625,,,Gampaha,,Kotadeniyawa,Kotadeniyawa,,0,11232
1229102,LK,,PX,7.6519,79.8339,,,Puttalam,,Rajakadaluwa,Rajakadaluwa,,0,61242
1234674,LK,,AD,8.5052,80.7887,,,Anuradhapura,,Morakewa,Morakewa,"Morakawa,Morakewa",0,50349
1237208,LK,,KT,6.5041,79.9811,,,Kalutara,,Maggona,Maggona,"Maggona,Maggona West",0,12060
1248139,LK,,GQ,7.1659,79.9905,,,Gampaha,,Dewalapola,Dewalapola,"Devalapola,Dewalapola",0,11102
1249349,LK,,GQ,7.0491,80.0514,,,Gampaha,,Buthpitiya,Buthpitiya North,"Buthpitiya,Buthpitiya North",0,11720
1225796,LK,,GQ,7.11667,79.98333,,,Gampaha,,Udugampola,Udugampola,,0,11030
1233517,LK,,PX,8.0,80.11667,,,Puttalam,,Nawagattegama,Nawagattegama,,0,61520
1243238,LK,,PX,7.5716,79.8307,,,Puttalam,,Ilippadeniya,Ilippadeniya,,0,61018
1249621,LK,,KG,7.3191,80.0824,,,Kurunegala,,Bopitiya,Bopitiya,,0,60155
1251476,LK,,KE,7.0673,80.2955,,,Kegalle,,Ampagala,Ampagala,,0,71232
1241318,LK,,KG,7.78333,80.33333,,,Kurunegala,,Karambe,Karambe,,0,60602
1249748,LK,,NW,6.7994,80.665,,,Nuwara Eliya,,Bogawantalawa,Bogawantalawa,"Bogawantalawa,Kotiyagala",0,22060
8303585,LK,,PX,7.8501,79.8156,,,Puttalam,,Mangalaeliya,Mangalaeliya,,0,61266
1229148,LK,,MH,6.1337,80.6142,,,Matara,,Radawela,Radawela,,0,81316
1230637,LK,,KT,6.40201,80.21273,,,Kalutara,,Pelawatta,Pelawatta,,0,12138
1236439,LK,,BD,7.1089,81.0089,,,Badulla,,Maliyadda,Maliyadda,,0,90022
1237209,LK,,GL,6.1036,80.4062,,,Galle,,Magedara,Magedara,"Magedara,Magedera",0,80152
1238902,LK,,TC,8.8146,81.099,,,Trincomalee,,Kuchchaveli,Kuchchaveli,Kuchchaveli,0,31014
