3112040,ES,GA,LU,42.86697,-7.95281,27040,Galicia,Lugo,Palas de Rei,Remonde,Remonde,Remonde,0,27203
3112124,ES,PV,SS,43.16505,-2.17395,20066,Pais Vasco,Guipúzcoa,Errezil,Errezil,Errezil,"Errezil,Regil,Régil",0,20737
3113115,ES,CL,P,42.48087,-4.64086,34143,Castilla - Leon,Palencia,Quintanilla de Onsoña,Portillejo,Portillejo,Portillejo,0,34114
3113447,ES,CL,LE,42.19319,-6.0875,24047,Castilla - Leon,León,Castrocontrigo,Pinilla De La Valderia,Pinilla de la Valdería,"Pinilla,Pinilla de la Valderia,Pinilla de la Valdería",0,24734
3113765,ES,AS,O,43.43333,-6.38333,33059,Asturias,Asturias,Salas,Pereda,Pereda,Pereda,0,33782
3113795,ES,CM,GU,40.61078,-2.44957,19217,Castilla - La Mancha,Guadalajara,Peralveche,Peralveche,Peralveche,Peralveche,101,19493
3115707,ES,CL,SA,40.39776,-5.71425,37163,Castilla - Leon,Salamanca,"Hoya, La",Navacarros,Navacarros,Navacarros,143,37716
3116002,ES,GA,LU,42.57499,-7.70632,27058,Galicia,Lugo,O Saviñao,Mourelos,Mourelos,Mourelos,0,27548
3116294,ES,CT,L,42.34154,1.42862,25140,Cataluna,Lleida,Montferrer i Castellbò,Montferrer,Montferrer,Montferrer,0,25711
3116695,ES,AS,O,43.53333,-5.93333,33016,Asturias,Asturias,Castrillón,Miranda (Aviles),Miranda,"Miranda,Santo Domingo de Miranda",0,33410
3116695,ES,AS,O,43.53333,-5.93333,33016,Asturias,Asturias,Castrillón,Santa Ana (Miranda - Aviles),Miranda,"Miranda,Santo Domingo de Miranda",0,33410
3117137,ES,CL,ZA,42.10499,-5.64156,49113,Castilla - Leon,Zamora,Matilla de Arzón,Matilla De Arzon,Matilla de Arzón,"Matilla,Matilla de Arzon,Matilla de Arzón",243,49692
3117501,ES,GA,OR,42.30962,-7.23209,32044,Galicia,Ourense,Manzaneda,Manzaneda,Manzaneda,Mazaneda,1139,32781
3117501,ES,GA,OR,42.30962,-7.23209,32044,Galicia,Ourense,Manzaneda,Requeixo (Manzaneda),Manzaneda,Mazaneda,1139,32784
3117501,ES,GA,OR,42.30962,-7.23209,32044,Galicia,Ourense,Manzaneda,Paradela (Manzaneda),Manzaneda,Mazaneda,1139,32782
3118057,ES,EX,CC,40.12158,-5.60454,10110,Extremadura,Cáceres,Losar de la Vera,Losar De La Vera,Losar de la Vera,"Losar de la Vera,Losar-de-la-Vera,luo sa er de la wei la,lwsar dy lafyra,Лосар-де-ла-Вера,لوسار دي لافيرا,洛萨尔德拉韦拉",3146,10460
3118161,ES,NC,NA,42.42269,-2.07741,31157,Navarra,Navarra,Lodosa,Lodosa,Lodosa,Lodosa,4721,31580
