1614593,TH,53,,17.73636,100.55711,,Uttaradit,,,Nam Pat,Ban Pak Pat,"Ban Pak Pat,Ban Sae To,Ban Sean Tau,Bān Sean Tau,Nam Pat,Pak Pat,Saen Tau,Sentoh,Sēntōh,ban pak pad,บ้านปากปาด",0,53110
1615010,TH,20,,13.14144,101.38358,,Chonburi,,,Nong Yai,Ban Nong Takhian,"Ban Nong Takhian,Naung Takhian,ban hnxng takheiyn,บ้านหนองตะเคียน",0,20190
1152204,TH,52,,17.44688,99.1142,,Lampang,,,Mae Phrik,Mae Phrik,"Amphoe Mae Phrik,Amphu Me Plick,Ban Mae Phlik,Ban Mae Phrik,Ban Mea Phlik,Bān Mea Phlik,Mae Phlik,Mae Phrik,Mebhlik,Mēbhlik,แม่พริก",0,52180
1157966,TH,71,,13.85339,99.41042,,Khanchanaburi,,,Dan Makham Tia,Dan Makham Tia,"Amphoe Dan Makham Tia,Ban Dan Makham Tia,Ban Nong Makham Tia,Dan Makham Tia,King Amphoe Dan Makham Tia,dan makham teiy,ด่านมะขามเตี้ย",0,71260
1605613,TH,42,,17.62355,101.42099,,Loei,,,Tha Li,Tha Li,"Amphoe Tha Li,Ban Ta Li,Ban Tha Li,Dhali,Dhāli,Tha Li,thali,ท่าลี่",0,42140
1606386,TH,20,,12.66644,100.90073,,Chonburi,,,Sattahip,Sattahip,"Amphoe Sattahip,Ban Sata Hib,Ban Satahip,Ban Sattahip,King Amphoe Sattahip,Satahib,Sattaheeb,Sattaheep,Sattahib,Sattahiep,Sattahip,sathib,สัตหีบ",65444,20180
1607826,TH,47,,17.39051,103.71692,,Sakon Nakhon,,,Phang Khon,Phang Khon,"Amphoe Phang Khon,Ban Phany Khon,Bang Khone,King Amphoe Phang Khon,Phang Khon,phangkhon,พังโคน",0,47160
1608163,TH,13,,14.13478,100.82503,,Pathum Thani,,,Nong Sua,Nong Suea,"Amphoe Nong Sua,Ban Bung Ba,Ban Bung Pa,Boeng Ba,Nong Sua,Nong Suea,hnxngseux,หนองเสือ",0,12170
1610227,TH,33,,14.64056,104.64992,,Sisaket,,,Kantharalak,Kantharalak,"Amphoe Kantharalak,Amphoe Nam Om,Ban Nam Om,Kanthanalak,Kantharalak,Kantkharalak,Muang Uthumpa,Muang Uthumpau,Mueang Uthumphon Phisai,Muong Utumpar,Nam Aum,Кантхаралак,กันทรลักษณ์",36621,33110
1619278,TH,10,,13.73058,100.52388,,Bangkok,,,Bang Rak,Bang Rak,"Amphoe Bang Rak,Bang Rak,Bangrak,bangrak,บางรัก",0,10500
