7932668,AU,QLD,,-27.66027,152.73863,,Queensland,TOOWOOMBA SE CNR,,Yamanto,Yamanto,,3624,4305
8347885,AU,NSW,,-28.20176,153.56518,,New South Wales,TOOWOOMBA SE CNR,,Fingal Head,Fingal Head,,0,2487
8347917,AU,NT,,-11.76082,130.62555,,Northern Territory,,,Wurrumiyanga,Wurrumiyanga,,0,0822
8348346,AU,TAS,,-42.82955,147.3463,,Tasmania,TASMANIA,,Geilston Bay,Geilston Bay,,0,7015
8348361,AU,SA,,-35.00274,138.58862,,South Australia,SA CITY SUBS,,Pasadena,Pasadena,,0,5042
8348417,AU,NSW,,-34.08942,150.79656,,New South Wales,CAMPBELLTOWN,,Ambarvale,Ambarvale,,0,2560
8349298,AU,NT,,-12.44236,130.9094,,Northern Territory,,,Hidden Valley,Hidden Valley,,0,0822
8349313,AU,ACT,,-35.19873,149.06438,,Australian Capital Territory,CANBERRA,,Spence,Spence,,0,2615
8556202,AU,QLD,,-27.32112,153.00857,,Queensland,NORTHGATE NORTH,,Bald Hills,Bald Hills,,5965,4036
8614470,AU,NSW,,-34.12234,149.07852,,New South Wales,CANBERRA,,Reids Flat,Reids Flat,Reids Flat,0,2586
8628220,AU,NSW,,-30.86115,152.63572,,New South Wales,NSW NORTH COAST,,Millbank,Millbank,Millbank,0,2440
9613617,AU,TAS,,-41.78644,147.72089,,Tasmania,TASMANIA,,Avoca,Avoca,Avoca,0,7213
9973275,AU,SA,,-34.96416,138.5806,,South Australia,SA SUBS NEAR 1,,Clarence Park,Clarence Park,,0,5034
9973322,AU,SA,,-34.96388,138.60776,,South Australia,,,Unley Park,Unley Park,,1494,5061
11637009,PK,,,30.79491,72.04237,,Lahore,,,Kalu Wala,Chah Nir-e-wala,,0,35021
1164408,PK,,,27.70323,68.85889,,Hyderabad,,,Sukkur Barrage (Nd),Sukkur,"Gorad Sukur,SKZ,Sukkur,Sukur,Sukuras,Szukkur,Szukkúr,sakhkhara,sakkaru,skr,skr  pakstan,su ku er,sukuleu,Горад Сукур,Суккур,Сукур,سکر,سکر، پاکستان,سکھر,सख्खर,サッカル,蘇庫爾,수쿠르",417767,65200
1164408,PK,,,27.70323,68.85889,,Hyderabad,,,Minara Road Sukkur (Nd),Sukkur,"Gorad Sukur,SKZ,Sukkur,Sukur,Sukuras,Szukkur,Szukkúr,sakhkhara,sakkaru,skr,skr  pakstan,su ku er,sukuleu,Горад Сукур,Суккур,Сукур,سکر,سکر، پاکستان,سکھر,सख्खर,サッカル,蘇庫爾,수쿠르",417767,65200
1164408,PK,,,27.70323,68.85889,,Hyderabad,,,Sukkur G.P.O.,Sukkur,"Gorad Sukur,SKZ,Sukkur,Sukur,Sukuras,Szukkur,Szukkúr,sakhkhara,sakkaru,skr,skr  pakstan,su ku er,sukuleu,Горад Сукур,Суккур,Сукур,سکر,سکر، پاکستان,سکھر,सख्खर,サッカル,蘇庫爾,수쿠르",417767,65200
