1779790,MY,PHG,,3.52229,101.90866,,Pahang,,,Bentong,Bentong Town,,49213,"28707,28709"
1734634,MY,PRK,,4.5841,101.0829,,Perak,,,Ipoh,Ipoh,"IPH,Ipo,Ipoh,Ipoha,Ipohas,Ipokh,Yi-po-su,Yî-pó-sṳ,aybwh,aypw,aypwh,ipo,ippo,xi poh,yi bao,Іпох,Ипо,Ипох,איפוה,ايبوه,ایپو,ایپوه,ஈப்போ,อีโปห์,အီပိုးမြို့,イポー,怡保,이포",673318,"30000,30656,30770,30658,30902,30300,30630,30518,30668,31500,31650,31450,30576,30604,30988,30900,30620,30570,30660,30592,30609,30506,30586,30661,30690,30564,30664,30760,30556,30612,30710,30621,30820,30503,30100,30517,31400,30830,30810,30536,30800,30520,30622,30700,30010,30682,30632,30500,30626,30634,30904,30906,31407,30546,30606,30648,30580,30532,30582,30644,30740,30912,30504,30508,30594,30990,30790,30560,30673,30590,30450,30512,30516,30670,30674,30505,30551,30542,31409,30020,30502,30840,31350,30534,30540,30548,30519,30524,30552,30750,30510,30550,30662,30610,30600,30200,30720,30910,30554,30628,30646,30676,30350,30596,30730,30780,30908"
6692369,MY,PNG,,5.45828,100.29161,,Pulau Pinang,,,Tanjong Bungah,Tanjong Bungah,,0,11200
1734470,MY,SRW,,1.52143,110.34187,,Sarawak,,,Kuching,Kuching,,0,"93552,93614,93505,93518,93914,93750,93609,93619,93726,93748,93648,93551,93400,93906,93740,93600,93100,93712,93754,93756,93902,93564,93732,93916,93708,93560,93586,93710,93540,93608,93662,93516,93626,93908,93150,93606,93514,93736,93556,93596,93670,93594,93661,93672,93716,93610,93527,93350,93504,93760,93660,93517,93746,93592,93690,93738,93742,93752,93500,93570,93576,93566,93508,93718,93628,93558,93554,93694,93632,93612,93904,93700,93900,93519,93529,93572,93050,93720,93764,93704,93000,93532,93910,93506,93702,93714,93722,93912,93730,93762,93706,93502,93590,93520,93728,93758,93677,93744,93990,93503,93507,93658,93634,93450,93734,93724,93578,93200"
1734815,MY,NSN,,2.53718,101.80571,,Negeri Sembilan,,,Port Dickson,Port Dickson,"Arang Arang Anchorage,Arang-Arang,Port Dickson",89198,"71007,71009,71960"
1736286,MY,PLS,,6.43269,100.26893,,Perlis,,,Arau,Arau,Arau,0,"02609,02600,02607"
7796816,MY,NSN,,2.7394,102.2404,,Negeri Sembilan,,,Kuala Pilah,Taman Pilah Jaya,Taman Pilah Jaya,0,"72000,72509,72500,72507,72007,72009"
1744246,MY,SGR,,3.03333,101.71667,,Selangor,,,Seri Kembangan,Seri Kembangan,Seri Kembangan,0,43300
8504423,MY,SGR,,3.04384,101.58062,,Selangor,,,Subang Jaya,Subang Jaya,"Subang Dzhaja,Subang Jaya,shu bang,shu bang zai ye,subangjaya,swbang jaya,swbangh jaya,Субанг Джая,سوبانغ جايا,سوبانگ جایا,スバン・ジャヤ,梳邦,梳邦再也,수방자야",708296,"47610,47507,47600"
1771408,MY,PRK,,3.984,100.761,,Perak,,,Bagan Datoh,Kampung Bagan Datuk Lama,"Kampong Bagan Datoh,Kampung Bagan Datuk Lama",0,36100
1742906,MY,PRK,,3.8915,100.8532,,Perak,,,Sungai Sumun,Sungai Sumun,"Sumun,Sungai Sumun",0,"36300,36309,36307"
1734732,MY,MLK,,2.3585,102.1029,,Melaka,,,Masjid Tanah,Masjid Tanah,Masjid Tanah,0,"78307,78309"
1735572,MY,KTN,,5.5313,102.19925,,Kelantan,,,Kuala Krai,Kuala Krai,"Kuala Kerai,Kuala Krai,Kuala Krail,Kuala Lebir",0,18050
1735132,MY,PHG,,3.42453,101.79163,,Pahang,,,Genting Highlands,Genting Highlands,"Cao nguyen Genting,Cao nguyên Genting,genting haillaenjeu,gentinhairando,jenring,kentin malai,yun ding gao yuan,مرتفعات جنتنج,گینتنگ ہائی لینڈز,கெந்திங் மலை,ജെന്റിംഗ്,ゲンティンハイランド,雲頂高原,겐팅 하일랜즈",0,69000
1736376,MY,KTN,,6.13328,102.2386,,Kelantan,,,Kota Bharu,Kota Bharu,"Bharu,KBR,Khota Baharu,Khota Bahru,Ko-ta-hap-lu-su,Kota Baharu,Kota Bahru,Kota Baru,Kota Bharu,Kota-Baru,Kô-tá-ha̍p-lû-sṳ,ge da ba lu,kotabalu,kotabaru,kwta bharw,Кота Бару,Кота-Бару,كوتا بهارو,โกตาบารู,コタバル,哥打巴鲁,코타바루",1459994,"15660,15740,15664,15518,15590,15648,15672,15558,15100,15514,15503,15512,15550,15540,15000,15630,16109,15556,15532,15644,15670,15300,15596,15400,15622,15504,15578,15586,16010,15609,15676,15572,15628,15534,15517,15508,15350,15988,15990,15516,15529,15720,15658,15548,15150,15674,15519,15623,15616,15551,15570,15680,15502,15690,15594,15200,15626,15536,15524,15673,15576,15582,15050,15564,15661,15600,16020,15632,16100,15506,15546,15560,15500,15612,15538,15592,15634,15710,15159,15604,15520,15646,15730,15505,16150,15614,15608"
