3193695,HR,,,44.13701,16.07386,,Zadarska,,Zrmanja,Palanka,Palanka,,19,23443
3194242,HR,,,43.74083,16.67972,,Splitsko-Dalmatinska,,Obrovac Sinjski,Obrovac Sinjski,Obrovac Sinjski,"Obravac,Obrovac Sinjski",804,21241
3195286,HR,,,45.26833,14.26667,,Primorsko-Goranska,,Lovran,Medveja,Medveja,"Medea,Medveja",177,51415
3195302,HR,,,45.45639,16.91806,,Sisačko-Moslavačka,,Banova Jaruga,Međurić,Međurić,"Meduric,Međurić",485,44321
3195367,HR,,,45.11194,13.75889,,Istarska,,Kanfanar,Matohanci,Matohanci,"Matohanci,Motoanci,Motohanci",87,52352
3196002,HR,,,46.225,16.35306,,Varaždinska,,Turčin,Lužan Biškupečki,Lužan Biškupečki,"Biskupecki Luzan,Biškupečki Lužan,Luzan,Luzan Biskupecki,Lužan,Lužan Biškupečki",398,42204
3196002,HR,,,46.225,16.35306,,Varaždinska,,Turčin,Tomaševec Biškupečki,Lužan Biškupečki,"Biskupecki Luzan,Biškupečki Lužan,Luzan,Luzan Biskupecki,Lužan,Lužan Biškupečki",398,42204
3196215,HR,,,45.855,16.33,,Zagrebačka,,Lonjica,Lonjica,Lonjica,"Lojnica,Lonjica",1020,10341
3201395,HR,,,43.51667,16.23333,,Splitsko-Dalmatinska,,Seget Donji,Seget Donji,Donji Seget,"Donji Seget,Seget Donji",0,21218
3201589,HR,,,45.66667,15.76667,,Zagrebačka,,Jastrebarsko,Donja Zdenčina,Donja Zdenčina,"Donja Zdencina,Donja Zdenčina,Zdencina,Zdenčina",1009,10450
3201613,HR,,,45.96667,16.25,,Krapinsko-Zagorska,,Konjščina,Donja Konjščina,Donja Topličica,"Donja Toplicica,Donja Topličica,Toplicica Dolnja,Topličica Dolnja",68,49282
3201613,HR,,,45.96667,16.25,,Zagrebačka,,Sveti Ivan Zelina,Donja Topličica,Donja Topličica,"Donja Toplicica,Donja Topličica,Toplicica Dolnja,Topličica Dolnja",68,10380
3201702,HR,,,45.68333,17.81667,,Virovitičko-Podravska,,Nova Bukovica,Donja Bukovica,Donja Bukovica,,85,33518
3202749,HR,,,45.41231,16.26534,,Sisačko-Moslavačka,,Gora,Cepeliš,Cepeliš,,59,44251
3202925,HR,,,45.75389,17.57806,,Virovitičko-Podravska,,Cabuna,Cabuna,Cabuna,"Cabuna,Czabuna,Zabuna",787,33412
3187095,HR,,,45.41667,15.03333,,Primorsko-Goranska,,Brod Moravice,Klepeće Selo,Vučinić Selo,,0,51312
3187567,HR,,,45.67528,15.40028,,Karlovačka,,Vivodina,Vivodina,Vivodina,Vivodina,87,47283
3188214,HR,,,45.43333,14.35,,Primorsko-Goranska,,Brod na Kupi,Velika Lešnica,Velika Lešnica,,16,51301
3189508,HR,,,45.07611,17.8775,,Brodsko-Posavska,,Bebrina,Šumeće,Šumeće,,580,35254
3190040,HR,,,44.54861,15.06778,,Ličko-Senjska,,Karlobag,Staništa,Staništa,"Stanista,Staniste,Staništa,Stanište",6,53288
3190092,HR,,,43.51778,16.72806,,Splitsko-Dalmatinska,,Donji Dolac,Srijane,Srijane,,0,21205
3190584,HR,,,45.10639,17.74556,,Brodsko-Posavska,,Slavonski Kobaš,Slavonski Kobaš,Slavonski Kobaš,"Kobas,Kobas Slavonski,Kobaš,Slavonski Kobas,Slavonski Kobaš,Slavoriski Kobas,Slavoriski Kobaš",0,35255
3191010,HR,,,43.46667,16.81667,,Splitsko-Dalmatinska,,Blato na Cetini,Seoca,Seoca,"Seoca,Seoce,Seoci",140,21254
3191977,HR,,,44.765,15.41167,,Ličko-Senjska,,Ličko Lešće,Ramljani,Ramljani,"Ramljane,Ramljani",167,53224
3192174,HR,,,45.07944,14.1575,,Istarska,,Rabac,Rabac,Rabac,"Rabac,Rabac Luka,Rabaz",1479,52221
3192659,HR,,,45.65,17.4,,Požeško-Slavonska,,Velika,Potočani,Potočani,,70,34330
3192659,HR,,,45.65,17.4,,Bjelovarsko-Bilogorska,,Đulovac,Potočani,Potočani,,70,43532
3193696,HR,,,45.51667,16.13333,,Sisačko-Moslavačka,,Letovanić,Palanjek Pokupski,Palanjek Pokupski,"Palanjek Pokupski,Pokupski Palanjak,Pokupski Palanjek,Poljanek",9,44271
3195821,HR,,,45.67667,16.95444,,Bjelovarsko-Bilogorska,,Velika Trnovitica,Mala Mlinska,Mala Mlinska,,0,43285
3195911,HR,,,46.33333,16.25,,Varaždinska,,Petrijanec,Majerje,Majerje,Majerje,757,42206
3196793,HR,,,43.85167,16.53722,,Splitsko-Dalmatinska,,Hrvace,Laktac,Laktac,Laktac,2,21233
3196945,HR,,,45.1,15.33333,,Karlovačka,,Plaški,Kunić,Kunić,"Kunic,Kunic Selo,Kunić,Kunić Selo",32,47304
3198891,HR,,,45.1,15.41667,,Karlovačka,,Plaški,Janja Gora,Janja Gora,Janja Gora,112,47304
3199091,HR,,,44.27415,14.7655,,Zadarska,,Ist,Ist,Ist,"Ist,Isto",182,23293
3199305,HR,,,45.97722,16.27444,,Zagrebačka,,Sveti Ivan Zelina,Hrastje,Hrastje,Hrastje,193,10380
3199474,HR,,,45.15833,18.49139,,Brodsko-Posavska,,Gundinci,Gundinci,Gundinci,Gundinci,2305,35222
3200180,HR,,,45.76667,16.75,,Bjelovarsko-Bilogorska,,Štefanje,Gornja Šušnjara,Gornja Šušnjara,,28,43246
3200180,HR,,,45.76667,16.75,,Bjelovarsko-Bilogorska,,Štefanje,Donja Šušnjara,Gornja Šušnjara,,28,43246
3200505,HR,,,45.49056,16.8625,,Sisačko-Moslavačka,,Kutina,Gojlo,Gojlo,"Goilo,Gojilo,Gojlo",0,44320
3201343,HR,,,45.18611,13.67111,,Istarska,,Poreč,Dračevac,Dračevac,"Castel Monspinoso,Castel Monstinoso,Dracevac,Dracevaz,Dračevac",166,52440
3201886,HR,,,45.30043,16.28388,,Sisačko-Moslavačka,,Jabukovac,Dodoši,Dodoši,,0,44204
3202256,HR,,,45.1844,15.60668,,Karlovačka,,Krnjak,Vojnović Brdo,Cvijanović Brdo,,0,47242
3202256,HR,,,45.1844,15.60668,,Karlovačka,,Veljun,Cvijanović Brdo,Cvijanović Brdo,,0,47243
3202256,HR,,,45.1844,15.60668,,Karlovačka,,Krnjak,Jasnić Brdo,Cvijanović Brdo,,0,47242
3202888,HR,,,46.38444,16.43389,,Međimurska,,Čakovec,Čakovec,Čakovec,"Aquama,Cakovec,Cakovecas,Chakovec,Csakathurn,Csaktornya,Csáktornya,Gorad Chakavec,cha ke wei ci,chakobecheu,chakovu~etsu,chakwts,chakwwts,tshakwfytsh,Čakovec,Čakovecas,Горад Чакавец,Чаковец,تشاكوفيتش,چاکوتس,چاکووتس,چاکۆڤێتس,ჩაკოვეცი,チャコヴェツ,查科韋茨,차코베츠",15867,40000
3203145,HR,,,44.58778,15.39472,,Ličko-Senjska,,Lički Osik,Budak,Budak,,151,53201
3203610,HR,,,45.40182,15.92846,,Sisačko-Moslavačka,,Bović,Bović,Bović,"Bovic,Bović",91,44414
3204096,HR,,,42.98333,16.01667,,Splitsko-Dalmatinska,,Komiža,Biševo,Biševo,"Bisevo,Biševo,Busi",15,21485
3204580,HR,,,45.29904,16.05523,,Sisačko-Moslavačka,,Hajtić,Balinac,Balinac,,69,44401
3213498,HR,,,46.02361,15.92528,,Krapinsko-Zagorska,,Zabok,Lug Zabočki,Hum Zabočki,"Hum,Hum Zabocki,Hum Zabočki",457,49210
3213498,HR,,,46.02361,15.92528,,Krapinsko-Zagorska,,Zabok,Bregi Zabočki,Hum Zabočki,"Hum,Hum Zabocki,Hum Zabočki",457,49210
3213498,HR,,,46.02361,15.92528,,Krapinsko-Zagorska,,Zabok,Hum Zabočki,Hum Zabočki,"Hum,Hum Zabocki,Hum Zabočki",457,49210
3213498,HR,,,46.02361,15.92528,,Krapinsko-Zagorska,,Zabok,Jakuševec Zabočki,Hum Zabočki,"Hum,Hum Zabocki,Hum Zabočki",457,49210
3214787,HR,,,45.39139,18.6925,,Vukovarsko-Srijemska,,Markušica,Podrinje,Podrinje,"Ivanjici,Ivanjići,Podrinje",224,32213
3215091,HR,,,45.47,15.70028,,Karlovačka,,Skakavac,Brežani,Brežani,,129,47212
3217276,HR,,,44.59333,15.34,,Ličko-Senjska,,Klanac,Veliki Žitnik,Veliki Žitnik,,47,53212
3281884,HR,,,45.13389,15.67472,,Karlovačka,,Cetingrad,Gnojnice,Gnojnice,,0,47222
3281884,HR,,,45.13389,15.67472,,Karlovačka,,Cetingrad,Donje Gnojnice,Gnojnice,,0,47222
3188495,HR,,,43.16528,17.38694,,Splitsko-Dalmatinska,,Veliki Prolog,Umčani,Umčani,"Umcane,Umcani,Umčane,Umčani",227,21277
3190919,HR,,,45.34833,16.87167,,Sisačko-Moslavačka,,Novska,Sigetac Novski,Sigetac Novski,"Novski Sigetec,Sigeci,Sigeci Novski,Sigetac Novski",0,44330
3191677,HR,,,45.57944,15.35139,,Karlovačka,,Ribnik,Ribnik,Ribnik,"Comuna Ribnik,Ribnik,Рибник",0,47272
3192454,HR,,,45.53583,18.08361,,Osječko-Baranjska,,Đurđenovac,Pribiševci,Pribiševci,,390,31511
3192715,HR,,,45.46667,15.65,,Karlovačka,,Skakavac,Popović Brdo,Popović Brdo,,224,47212
3192715,HR,,,45.46667,15.65,,Karlovačka,,Utinja,Kljaić Brdo,Popović Brdo,,224,47211
3192815,HR,,,46.26667,16.57361,,Varaždinska,,Ludbreg,Poljanec,Poljanec,Poljanec,716,42230
3193175,HR,,,44.89917,15.59333,,Ličko-Senjska,,Plitvička Jezera,Plitvica Selo,Plitvica,"Plitvica,Plitvice",0,53231
3193302,HR,,,43.15194,16.66944,,Splitsko-Dalmatinska,,Jelsa,Pitve,Pitve,,69,21465
3193941,HR,,,45.51639,16.61667,,Sisačko-Moslavačka,,Popovača,Osekovo,Osekovo,"Osekovo,Oszekovo",853,44317
3194340,HR,,,43.30744,16.84462,,Splitsko-Dalmatinska,,Selca,Novo Selo,Novo Selo,,152,21425
3195179,HR,,,45.26944,15.68194,,Karlovačka,,Krstinja,Miholjsko,Miholjsko,Miholjsko,123,47221
3195943,HR,,,45.91667,16.93333,,Bjelovarsko-Bilogorska,,Veliko Trojstvo,Maglenča,Maglenča,,316,43226
3196052,HR,,,46.21007,15.82538,,Krapinsko-Zagorska,,Đurmanec,Lukovčak,Lukovčak,"Lukoncak,Lukončak,Lukovcak,Lukovčak",228,49225
3196061,HR,,,45.38,14.45194,,Primorsko-Goranska,,Dražice,Lukeži,Lukeži,,193,51218
3198854,HR,,,46.35208,16.09574,,Varaždinska,,Cestica,Jarki,Jarki,,0,42208
