2964574,IE,,,53.33306,-6.24889,,,,,Dublin 2,Dublin,"Baile Atha Cliath,Baile Átha Cliath,Ciuda de Dublin,Ciudá de Dublín,DUB,Dablin,Diblin,Difelin,Divlyn,Doublino,Dublin,Dublin city,Dublina,Dublinas,Dublini,Dublino,Dublinu,Dublín,Dublîn,Dueblin,Dulenn,Dulyn,Dyflinn,Düblin,Eblana,Gorad Dublin,dabalina,dablin,dablina,daburin,dbln,dblyn,deobeullin,dou bai lin,dublini,dwblyn,taplin,Δουβλίνο,Горад Дублін,Даблин,Дублин,Дублін,Дъблин,Դուբլին,דבלין,דובלין,دبلن,دوبلين,دوبلین,دۇبلىن,ڈبلن,ډبلن,ܕܒܠܢ,डब्लिन,दब्लिन,ডাবলিন,ਡਬਲਿਨ,டப்லின்,ಡಬ್ಲಿನ್,ഡബ്ലിൻ,ดับลิน,དུབ་ལིན།,ဒပ်ဗလင်မြို့,დუბლინი,ደብሊን,ダブリン,都柏林,더블린",1024027,D02
2964496,IE,,,51.71667,-9.11667,,,,,Dunmanway,Dunmanway,"Danmanui,Dun Manmhai,Dunmanway,Dunmaonmhui,Dún Mánmhaí,Dúnmaonmhuí,Данмануи",1585,P47
2966749,IE,,,51.88333,-8.58333,,,,,Ballincollig,Ballincollig,"Baile an Chollaigh,Ballincollig,Ballinkollig,ba lin ke li ge,balynkwlyg,Баллинколлиг,بالینکولیگ,巴林科利格",0,P31
2966370,IE,,,51.74694,-8.7425,,,,,Bandon,Bandon,"Bandon,Bandun,Droichead na Bandan,Droichead na Bandon,bandoni,Бандон,Бандън,ბანდონი",5492,P72
2966800,IE,,,52.70031,-6.96181,,,,,Bagenalstown,Bagenalstown,"Bagenalstown,Moneybeg,Muine Bheag,Muinebeag",3033,R21
2962961,IE,,,54.95,-7.73333,,,,,Letterkenny,Letterkenny,"LTR,Leitir Ceanainn,Leterkeni,Leterkenis,Letterkenni,Letterkenny,Leturkeni,Littyr Kennain,lai te ken ni,Летеркени,Леттеркенни,Летъркени,لیٹرکینی,萊特肯尼",16901,F92
2961214,IE,,,52.68194,-7.80222,,,,,Thurles,Thurles,"Durlas,Durlas Eile,Dúrlas Éile,Thurles,Tjorls,Turles,se lei si,teolleseu,terlesi,Търлес,Тёрлс,თერლესი,瑟勒斯,털레스",7588,E41
2962026,IE,,,53.03441,-7.29979,,,,,Portlaoise,Portlaoise,"Maryboro',Maryborough,Port Laoighise,Port Laoise,Port Leix,Portlaoise",13622,R32
2965367,IE,,,54.18333,-7.23333,,,,,Clones,Clones,"Clones,Cluain Eois,Klons,Клонс",1834,H23
2961123,IE,,,52.27042,-9.70264,,,,,Tralee,Tralee,"Tra Li,Traie Lee,Tralee,Trali,Trá Lí,te la li,teuleolli,torari,traly,Трали,Тралі,ترالی,ٹریلی,ტრალი,トラリー,特拉利,트럴리",22941,V92
