2764121,AT,05,503,47.71667,13.48333,50336,Salzburg,Politischer Bezirk Salzburg-Umgebung,Strobl,Strobl,Strobl,"Shtrobl',Shtrobl'-am-Vol'fgangze,Strobl,shi te luo bu er,Штробль,Штробль-ам-Вольфгангзе,سٹروبل,施特罗布尔",1393,5350
2764223,AT,07,702,47.26667,10.78333,70222,Tirol,Politischer Bezirk Imst,Tarrenz,Strad,Strad,,162,6464
2764535,AT,03,309,48.63333,14.83333,30910,Niederösterreich,Politischer Bezirk Gmünd,Bad Großpertholz,Steinbach,Steinbach,,36,3972
2765170,AT,03,318,47.63347,15.82993,31838,Niederösterreich,Politischer Bezirk Neunkirchen,Semmering,Semmering-Kurort,Semmering,"Semmering,Semmering-Kurort,Zemeringas,Zemmering,sai mo ling,zmryng,Земмеринг,זמרינג,塞默灵",544,2680
2765734,AT,03,325,48.45,15.1,32528,Niederösterreich,Politischer Bezirk Zwettl,Bad Traunstein,Schönau,Schönau,,60,3632
2766357,AT,03,314,48.0432,15.66942,31412,Niederösterreich,Politischer Bezirk Lilienfeld,St. Veit an der Gölsen,St. Veit an der Gölsen,Sankt Veit an der Gölsen,"Sankt-Fajt-an-der-Tristing,Sankt-Veit,St. Veit an der Goelsen,St. Veit an der Gölsen,Санкт-Файт-ан-дер-Тристинг",725,3161
2766545,AT,02,208,46.67647,14.57263,20817,Kärnten,Politischer Bezirk Völkermarkt,Völkermarkt,St. Margarethen ob Töllerberg,Sankt Margarethen ob Töllerberg,"Sankt Margarethen,Sankt Margarethen ob Tollerberg,Sankt Margarethen ob Töllerberg,Sankt Margarethen ober Tollerberg",152,9100
2766545,AT,02,208,46.67647,14.57263,20817,Kärnten,Politischer Bezirk Völkermarkt,Völkermarkt,Töllerberg,Sankt Margarethen ob Töllerberg,"Sankt Margarethen,Sankt Margarethen ob Tollerberg,Sankt Margarethen ob Töllerberg,Sankt Margarethen ober Tollerberg",152,9100
2767038,AT,02,210,46.73139,14.16944,21002,Kärnten,Politischer Bezirk Feldkirchen,Feldkirchen in Kärnten,Rottendorf,Rottendorf,,0,9560
2767038,AT,02,210,46.73139,14.16944,21003,Kärnten,Politischer Bezirk Feldkirchen,Glanegg,Rottendorf,Rottendorf,,0,9560
