3074265,CZ,,3714,49.2715,16.19201,,,Žďár nad Sázavou,,Jestřabí,Jestřabí,,0,595 01
3074800,CZ,,3301,49.15088,14.4808,,,České Budějovice,,Hroznějovice,Hroznějovice,,0,373 41
3075071,CZ,,3712,49.28333,17.06667,,,Vyškov,,Hoštice,Hoštice,,0,682 01
3075138,CZ,,3403,50.33264,12.94636,,,Karlovy Vary,,Horní Žďár,Horní Žďár,"Horni Brand,Horní Brand",0,363 01
3075208,CZ,,3409,50.13863,12.80758,,,Sokolov,,Horní Slavkov,Horní Slavkov,"Gorni-Slavkov,Khorni Slavkov,Schlaggenwald,shang si la fu ke fu,Горни-Славков,Хорњи Славков,上斯拉夫科夫",5818,357 31
3075459,CZ,,3207,50.32706,14.85606,,,Mladá Boleslav,,Horky nad Jizerou,Horky nad Jizerou,Horka,429,294 73
3076183,CZ,,3502,50.81045,14.39675,,,Děčín,,Filipov,Filipov,"Filipov,Philippsdorf",0,"407 21,407 53"
3076852,CZ,,3611,49.96655,16.68464,,,Ústí nad Orlicí,,Dolní Heřmanice,Dolní Heřmanice,"Dolni Hermanice,Dolní Heřmanice,Hermanice",0,563 01
3076956,CZ,,3204,49.9806,15.22954,,,Kolín,,Dolany,Dolany,,0,280 02
3077209,CZ,,3503,50.38182,13.47971,,,Chomutov,,Denětice,Denětice,Tenetitz,0,438 01
3077285,CZ,,3706,49.03828,16.91757,,,Hodonín,,Dambořice,Dambořice,Damboritz,1258,696 35
3077681,CZ,,3708,49.36237,17.6454,,,Kroměříž,,Chomýž,Chomýž,,353,768 61
3078534,CZ,,3802,49.71699,18.40964,,,Frýdek-Místek,,Bruzovice,Bruzovice,,732,739 36
3078561,CZ,,3707,49.30695,15.67642,,,Jihlava,,Brtnice,Brtnice,"Brtnice,Brutnice,Pirnitz,bu er te ni cai,Бртнице,Бртњице,Брътнице,布爾特尼采",3744,588 32
3078653,CZ,,3207,50.47072,14.7336,,,Mladá Boleslav,,Březovice,Březovice,,289,294 24
3078714,CZ,,3205,49.84559,15.35882,,,Kutná Hora,,Březí,Březí,,0,286 01
3078928,CZ,,3301,48.92371,14.43461,,,České Budějovice,,Boršov nad Vltavou,Boršov,,0,373 82
3078948,CZ,,3707,49.1646,15.39461,,,Jihlava,,Borovná,Borovná,,86,588 56
3079040,CZ,,3211,49.55589,13.98736,,,Příbram,,Bor,Bor,,0,"264 01,262 72"
3079104,CZ,,3707,49.10667,15.57469,,,Jihlava,,Bohusoudov,Bohusoudov,"Bohosoudov,Bohusoudov,Osoudov",0,588 56
3079137,CZ,,3210,49.88258,14.46041,,,Praha-západ,,Bohuliby,Bohuliby,Boholib,0,254 01
3079751,CZ,,3402,50.22387,12.19499,,,Cheb,,Aš,Aš,"Asch,Ash,a shen,ashu,asi,Аш,アシュ,阿什,아시",12866,352 01
