727526,BG,KRZ,KRZ02,41.71667,25.15,KRZ02-00,Кърджали / Kurdzhali,Ардино / Ardino,,Русалско / Rusalsko,Rusalsko,"Duralar,Otashla,Otashlă,Otaslo,Otašlö,Rusaloko,Rusalsko,Russalsko,Русалско",0,6795
728419,BG,BLG,BLG52,41.43353,23.68078,BLG52-00,Благоевград / Blagoevgrad,Хаджидимово / Khadzhidimovo,,Парил / Paril,Paril,"Paril,Парил",0,2926
729890,BG,VAR,VAR02,43.39086,27.78389,VAR02-00,Варна / Varna,Аксаково / Aksakovo,,Крумово / Krumovo,Krumovo,"Gorna-Kumludzha,Krumovo,Krumowo,Kumudzha,Крумово",0,9149
731487,BG,BLG,BLG33,41.4503,23.00424,BLG33-07,Благоевград / Blagoevgrad,Петрич / Petrich,Гега / Gega,Гега / Gega,Gega,"Gega,Гега",0,2882
732052,BG,HKV,HKV30,41.66667,25.75,HKV30-09,Хасково / Khaskovo,Стамболово / Stambolovo,Долно поле / Dolno pole,Долно поле / Dolno pole,Dolno Pole,"Dolno Pole,Nebi K'oy,Nebi K’oy,Novo Sel,Novo Selo,Nowo Selo,Долно Поле",0,6382
732168,BG,MON,MON29,43.50546,23.14808,MON29-10,Монтана / Montana,Монтана / Montana,Доктор Йосифово / Doktor Josifovo,Доктор Йосифово / Doktor Josifovo,Doktor Yosifovo,"Doktor Iosifovo,Doktor Josifovo,Doktor Yosifovo,Valkova-Slatina,Vlkova-Slatina,Vukovo Slatino,Vulkova-Slatina,Vălkova-Slatina,Vŭlkova-Slatina,Walkowa Slatina,Wălkowa Slatina,Доктор Йосифово",0,3449
732636,BG,SFO,SFO58,42.7,24.08333,SFO58-00,София / Sofija,Челопеч / Chelopech,,Челопеч / Chelopech,Chelopech,"Celopec,Chelopech,Tschelopetsch,Čelopeč,Челопеч",1760,2087
733188,BG,RAZ,RAZ26,43.45,26.4,RAZ26-02,Разград / Razgrad,Разград / Razgrad,Благоево / Blagoevo,Благоево / Blagoevo,Blagoevo,"Batemberg,Batenberg,Battenberg,Blagoevo,Kizilmurad,Kizylmurad,Kuzul Murad,Kŭzŭl Murad,Novo Selo,Благоево",0,7275
725227,BG,KRZ,KRZ21,41.4737,25.52249,KRZ21-10,Кърджали / Kurdzhali,Момчилград / Momchilgrad,Звездел / Zvezdel,Звездел / Zvezdel,Zvezdel,"G'ok-Viran,G’ok-Viran,Swesdel,Zvezdel,Звездел",0,6820
728371,BG,KRZ,KRZ35,41.78333,25.36667,KRZ35-00,Кърджали / Kurdzhali,Черноочене / Chernoochene,,Пчеларово / Pchelarovo,Pchelarovo,"Kovanluk,Kovanlŭk,Pchelarevo,Pchelarovo,Ptschelarewo,Пчеларово",0,6664
729152,BG,SHU,SHU10,43.03333,26.63333,SHU10-09,Шумен / Shumen,Върбица / Vurbica,Менгишево / Mengishevo,Менгишево / Mengishevo,Mengishevo,"K'opek K'oy,K'opekkioy,K’opek K’oy,K’opekkioy,Mengischewo,Mengishevo,Менгишево",0,9885
729870,BG,GAB,GAB29,43.05515,25.15037,GAB29-17,Габрово / Gabrovo,Севлиево / Sevlievo,Крушево / Krushevo,Крушево / Krushevo,Krushevo,"Kruschewo,Kruschowo,Krusevo,Krushevo,Krushovo,Krusovo,Kruševo,Krušovo,Tarash K'oy,Tarash K’oy,Крушево",0,5427
729986,BG,GAB,GAB29,43.13333,25.08333,GAB29-16,Габрово / Gabrovo,Севлиево / Sevlievo,Крамолин / Kramolin,Крамолин / Kramolin,Kramolin,"Kramolin,Крамолин",0,5429
731023,BG,MON,MON04,43.52456,23.49064,MON04-04,Монтана / Montana,Бойчиновци / Bojchinovci,Громшин / Gromshin,Громшин / Gromshin,Gromshin,"Gromschin,Gromshin,Громшин",0,3444
732126,BG,PDV,PDV12,42.41667,24.78333,PDV12-14,Пловдив / Plovdiv,Калояново / Kalojanovo,Долна махала / Dolna makhala,Долна махала / Dolna makhala,Dolna Mahala,"Dolna Magala,Dolna Mahala,Dolna Makhala,Dolna-Machala,Долна Махала",0,4351
732474,BG,VID,VID22,43.90284,22.61316,VID22-00,Видин / Vidin,Кула / Kula,,Чичил / Chichil,Chichil,"Chichil,Tschitschil,Чичил",0,3819
733640,BG,SML,SML31,41.4631,24.63858,SML31-01,Смолян / Smoljan,Смолян / Smoljan,Арда / Arda,Арда / Arda,Arda,"Arda,Ardabas,Ardabask,Арда",0,4790
725266,BG,HKV,HKV09,42.05,25.71667,HKV09-12,Хасково / Khaskovo,Димитровград / Dimitrovgrad,Златополе / Zlatopole,Златополе / Zlatopole,Zlatopole,"Pirinchlii,Pirinchliy,Slatiza,Zlatitsa,Zlatopole,Златополе",0,6421
725942,BG,JAM,JAM25,42.98333,27.03333,JAM25-06,Ямбол / Jambol,Тунджа / Tundzha,Веселиново / Veselinovo,Веселиново / Veselinovo,Veselinovo,"Bairam-Dere,Bayram Dere,Bayryam-Dere,Beselinovo,Bigramdere,Veselihevo,Veselinevo,Veselinovo,Vesselinovo,Wesselinowo,Веселиново",0,9828
725942,BG,SHU,SHU25,42.98333,27.03333,SHU25-03,Шумен / Shumen,Смядово / Smjadovo,Веселиново / Veselinovo,Веселиново / Veselinovo,Veselinovo,"Bairam-Dere,Bayram Dere,Bayryam-Dere,Beselinovo,Bigramdere,Veselihevo,Veselinevo,Veselinovo,Vesselinovo,Wesselinowo,Веселиново",0,9828
